id,PGA,PGV,PGD,NOMBRE_SIS,NOMBRE_SENSOR,N_SIS,DIRECCION,PATH_DIR_ORG,PATH_DIR_PROCES1,DT,N_POINTS_PROCES1,CORTE1,CORTE2,PATH_DIR_PROCES2,DT_PROCES2,N_POINTS_PROCES2
556,136.6788,-11.38608,-1.16467,Northridge,LA00060P,279,S00E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00060P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/279_S00E.T1,0.02,2036,77,1456,Registros_Sismicos_Proces2/Northridge/279_S00E.T1,0.02,1379
557,-200.8116,11.2636,1.08949,Northridge,LA00060P,279,S90E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00060P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/279_S90E.T1,0.02,2036,77,1456,Registros_Sismicos_Proces2/Northridge/279_S90E.T1,0.02,1379
558,-242.3945,12.05681,1.42006,Northridge,LA00061P,280,N08W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00061P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/280_N08W.T1,0.02,1887,32,1390,Registros_Sismicos_Proces2/Northridge/280_N08W.T1,0.02,1358
559,161.7124,-9.07753,0.76454,Northridge,LA00061P,280,S82W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00061P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/280_S82W.T1,0.02,1886,32,1390,Registros_Sismicos_Proces2/Northridge/280_S82W.T1,0.02,1358
560,167.2932,-7.18403,0.66689,Northridge,LA00063P,281,S87W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00063P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/281_S87W.T1,0.02,1888,92,1428,Registros_Sismicos_Proces2/Northridge/281_S87W.T1,0.02,1336
561,-329.8132,-11.21763,0.7761899999999999,Northridge,LA00063P,281,S03E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00063P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/281_S03E.T1,0.02,1888,92,1428,Registros_Sismicos_Proces2/Northridge/281_S03E.T1,0.02,1336
562,-89.15997,4.04796,-0.89717,Northridge,LA00065P,282,S10E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00065P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/282_S10E.T1,0.02,1922,89,1797,Registros_Sismicos_Proces2/Northridge/282_S10E.T1,0.02,1708
563,-44.53755,2.99474,-0.4461600000000001,Northridge,LA00065P,282,N80E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00065P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/282_N80E.T1,0.02,1920,89,1797,Registros_Sismicos_Proces2/Northridge/282_N80E.T1,0.02,1708
564,-155.1943,-10.7638,-1.87521,Northridge,LA00066P,283,S05W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00066P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/283_S05W.T1,0.02,1951,149,1887,Registros_Sismicos_Proces2/Northridge/283_S05W.T1,0.02,1738
565,122.6274,-8.90355,4.14245,Northridge,LA00066P,283,S85E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00066P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/283_S85E.T1,0.02,1953,149,1887,Registros_Sismicos_Proces2/Northridge/283_S85E.T1,0.02,1738
